school,sex,age,address,Medu,Fedu,studytime,failures,activities,nursery,higher,freetime,goout,health,absences,G1,G2,G3
GP,F,18.0,U,4,4,2,0,no,yes,yes,3,4,3,6,5,6,6
GP,F,17.0,U,1,1,2,0,no,no,yes,3,3,3,4,5,5,6
GP,F,15.0,U,1,1,2,3,no,yes,yes,3,2,3,10,7,8,10
GP,F,15.0,U,4,2,3,0,yes,yes,yes,2,2,5,2,15,14,15
GP,F,16.0,U,3,3,2,0,no,yes,yes,3,2,5,4,6,10,10
GP,M,16.0,U,4,3,2,0,yes,yes,yes,4,2,5,10,15,15,15
GP,M,16.0,U,2,2,2,0,no,yes,yes,4,4,3,0,12,12,11
GP,F,17.0,U,4,4,2,0,no,yes,yes,1,4,1,6,6,5,6
GP,M,15.0,U,3,2,2,0,no,yes,yes,2,2,1,0,16,18,19
GP,M,15.0,U,3,4,2,0,yes,yes,yes,5,1,5,0,14,15,15
GP,F,15.0,U,4,4,2,0,no,yes,yes,3,3,2,0,10,8,9
GP,F,15.0,U,2,1,3,0,yes,yes,yes,2,2,4,4,10,12,12
GP,M,15.0,U,4,4,1,0,yes,yes,yes,3,3,5,2,14,14,14
GP,M,15.0,U,4,3,2,0,no,yes,yes,4,3,3,2,10,10,11
GP,M,15.0,U,2,2,3,0,no,yes,yes,5,2,3,0,14,16,16
GP,F,16.0,U,4,4,1,0,no,yes,yes,4,4,2,4,14,14,14
GP,F,16.0,U,4,4,3,0,yes,yes,yes,2,3,2,6,13,14,14
GP,F,16.0,U,3,3,2,0,yes,yes,yes,3,2,4,4,8,10,10
GP,M,17.0,U,3,2,1,3,yes,yes,yes,5,5,5,16,6,5,5
GP,M,16.0,U,4,3,1,0,yes,yes,yes,1,3,5,4,8,10,10
GP,M,15.0,U,4,3,2,0,no,yes,yes,4,1,1,0,13,14,15
GP,M,15.0,U,4,4,1,0,no,yes,yes,4,2,5,0,12,15,15
GP,M,16.0,U,4,2,2,0,yes,yes,yes,5,1,5,2,15,15,16
GP,M,16.0,U,2,2,2,0,yes,yes,yes,4,4,5,0,13,13,12
GP,F,15.0,R,2,4,3,0,yes,yes,yes,3,2,5,2,10,9,8
GP,F,16.0,U,2,2,1,2,no,no,yes,2,2,5,14,6,9,8
GP,M,15.0,U,2,2,1,0,no,yes,yes,2,2,5,2,12,12,11
GP,M,15.0,U,4,2,1,0,no,yes,yes,2,4,1,4,15,16,15
GP,M,16.0,U,3,4,2,0,yes,yes,yes,3,3,5,4,11,11,11
GP,M,16.0,U,4,4,2,0,yes,yes,yes,4,5,5,16,10,12,11
GP,M,15.0,U,4,4,2,0,no,no,yes,4,2,5,0,9,11,12
GP,M,15.0,U,4,4,2,0,yes,yes,yes,3,1,5,0,17,16,17
GP,M,,R,4,3,2,0,yes,yes,yes,5,2,5,0,17,16,16
